,Date,Type,Description,Value,Account Name,budget_date,Category,SubCategory,Expense Amount,Account,Payee,Notes
53,14/09/2015,POS,"'9285 11SEP15 , TRAINLINE , 03332 022 222 LU",-61.5,'Current,,,,,,,
54,14/09/2015,POS,"'9285 12SEP15 C , M AND S SIMPLY FOOD - , SSP , ST PANCRAS ST GB",-8.5,'Current,,,,,,,
55,14/09/2015,POS,"'9285 12SEP15 C , W M MORRISONS , NOTTINGHAM GB",-5,'Current,,,,,,,
56,14/09/2015,POS,"'9285 12SEP15 , GOOGLE *MOBILE , GAME , GOOGLE.COM/CH GB",-0.76,'Current,,,,,,,
57,15/09/2015,D/D,'OXFAM DD,-3,'Current,,,,,,,
58,16/09/2015,BAC,"'CONTRACTOR UMBRELL, CONTRACTOR UMBRELL, FP 16/09/15 0241 , 14023206588550000N, CONTRACTOR UMBRELL, A",587.79,'Current,,,,,,,
59,17/09/2015,DPC,"'CALL REF.NO. 0000 , DAD , FP 17/09/15 10 , 40162648229143000R",-115,'Current,,,,,,,
60,17/09/2015,POS,"'9285 16SEP15 C , WASABI FINSBURY , PAVEME , LONDON GB",-5.45,'Current,,,,,,,
61,18/09/2015,D/D,'OVO ENERGY,-63,'Current,,,,,,,
62,21/09/2015,POS,"'9285 20SEP15 C , TESCO STORES 6611 , WALTHAMSTOW GB",-7.05,'Current,,,,,,,
63,21/09/2015,POS,"'9285 19SEP15 C , FOOD SALE EXPRESS , LONDON GB",-14.98,'Current,,,,,,,
64,21/09/2015,C/L,'BMACH 20SEP,-20,'Current,,,,,,,
65,21/09/2015,D/D,'LBTH COUNCIL TAX,-98,'Current,,,,,,,
66,22/09/2015,POS,"'9285 21SEP15 , 447581427540 , FEE GB",-19.8,'Current,,,,,,,
67,22/09/2015,POS,"'9285 21SEP15 C , EAT LTD , MOORGATE GB",-6.78,'Current,,,,,,,
68,23/09/2015,POS,"'9285 22SEP15 C , SUBWAY , 6 CITY ROAD GB",-5.99,'Current,,,,,,,
69,23/09/2015,POS,"'9285 21SEP15 , WWW.JUST EAT.CO.UK, 0208 7362006 GB",-22.55,'Current,,,,,,,
70,24/09/2015,POS,"'9285 23SEP15 C , POD , LONDON GB",-4.99,'Current,,,,,,,
71,24/09/2015,POS,"'9285 23SEP15 , RYMAN 1081 , LONDON GB",-38.95,'Current,,,,,,,
72,25/09/2015,BAC,"'O.BRIEN ME , AMAAAAAAAZON , FP 25/09/15 1349 , 22134947108231000N, O.BRIEN ME , AMAAAAAAAZON",12,'Current,,,,,,,
73,25/09/2015,POS,"'9285 24SEP15 , THREE-BILLPAY(IVR), WWW.THREE.CO. GB",-10,'Current,,,,,,,
74,25/09/2015,POS,"'9285 24SEP15 , DISHOOM , LONDON GB",-25,'Current,,,,,,,
75,25/09/2015,D/D,'PNET2674351-1,-19.49,'Current,,,,,,,
76,28/09/2015,POS,"'9285 25SEP15 , UDACITY, INC. , 8778877815 US , USD 200.00, VRATE 1.5157, FGN PUR FEE 3.63",-135.58,'Current,,,,,,,
77,28/09/2015,POS,"'9285 25SEP15 , LE TOKYO , 207797 , REIMS FR , EUR 27.00, VRATE 1.3520, FGN PUR FEE 1.00",-20.97,'Current,,,,,,,
78,28/09/2015,POS,"'9285 27SEP15 , QUICK , 247593 , REIMS0222 FR , EUR 21.40, VRATE 1.3518, FGN PUR FEE 1.00",-16.83,'Current,,,,,,,
79,28/09/2015,POS,"'9285 25SEP15 C , M AND S SIMPLY FOOD - , SSP , ST PANCRAS ST GB",-16.05,'Current,,,,,,,
80,28/09/2015,POS,"'9285 25SEP15 , TESCO STORES 6440 , LONDON EN8 GB",-53.33,'Current,,,,,,,
81,28/09/2015,D/D,'HALIFAX,-18.82,'Current,,,,,,,
82,29/09/2015,C/L,"'9285 26SEP15 , REIMS ERLON , REIMS FR , FGN CSH FEE 2.00",-33.31,'Current,,,,,,,
83,29/09/2015,POS,"'9285 27SEP15 , LE CHALAND , 75PARIS 10 FR , EUR 26.50, VRATE 1.3554, FGN PUR FEE 1.00",-20.55,'Current,,,,,,,
84,29/09/2015,POS,"'9285 27SEP15 , CHALET DU NORD , 75PARIS 10 FR , EUR 7.00, VRATE 1.3565, FGN PUR FEE 1.00",-6.16,'Current,,,,,,,
85,29/09/2015,POS,"'9285 28SEP15 C , CHILANGO'S , LONDON GB",-6.3,'Current,,,,,,,
86,01/10/2015,POS,"'9285 30SEP15 C , CO-OP GROUP PETROL, BOW ROAD GB",-10.69,'Current,,,,,,,
87,01/10/2015,POS,"'9285 30SEP15 , DSA , NOTTINGHAM GB",-62,'Current,,,,,,,
88,01/10/2015,D/D,'SOAS,-3,'Current,,,,,,,
89,01/10/2015,D/D,'H3G,-35.23,'Current,,,,,,,
90,02/10/2015,POS,"'9285 01OCT15 C , SUBWAY , 6 CITY ROAD GB",-5.99,'Current,,,,,,,
91,05/10/2015,CHG,'18SEP A/C 10651269,-12.95,'Current,,,,,,,
92,05/10/2015,POS,"'9285 03OCT15 , GOOGLE , *SVCSAPPS_MOTIO , 303-245-0086 IE",-0.77,'Current,,,,,,,
93,05/10/2015,POS,"'9285 02OCT15 C , TORTILLA WESTFIELD, STR , LONDON GB",-8.2,'Current,,,,,,,
94,05/10/2015,D/D,'VIRGIN MOBILE,-17.65,'Current,,,,,,,
95,06/10/2015,POS,"'9285 05OCT15 , EE AND T-MOBILE , T MOBILE.CO.U GB",-5,'Current,,,,,,,
96,06/10/2015,POS,"'9285 05OCT15 C , THE FOX , 0207 729 5708 GB",-12.5,'Current,,,,,,,
97,06/10/2015,POS,"'9285 04OCT15 , CO-OP GROUP PETROL, BOW ROAD GB",-23.87,'Current,,,,,,,
98,06/10/2015,POS,"'9285 04OCT15 , DELIVERANCE , LIMITED , LONDON GB",-32.1,'Current,,,,,,,
99,07/10/2015,POS,"'9285 06OCT15 , GOOGLE *COMMERCE , LTD , GOOGLE.COM/CH GB",-9.99,'Current,,,,,,,
100,07/10/2015,POS,"'9285 06OCT15 C , WAITROSE 732 , BARBICAN GB",-2,'Current,,,,,,,
101,07/10/2015,POS,"'9285 06OCT15 , GODADDY COM EUROPE, 020 7979 2661 GB",-5.99,'Current,,,,,,,
102,08/10/2015,D/D,'UNICEF UK,-4,'Current,,,,,,,
103,09/10/2015,POS,"'9285 08OCT15 , DSA , NOTTINGHAM GB , REFUND",62,'Current,,,,,,,
104,09/10/2015,POS,"'9285 08OCT15 , AMAZON UK , MARKETPLACE , 800-279-6620 LU",-21.32,'Current,,,,,,,
105,09/10/2015,POS,"'9285 09OCT15 , MUBI , LONDON GB",-4.99,'Current,,,,,,,
106,09/10/2015,POS,"'9285 08OCT15 , DSA THEORY TEST , NOTTINGHAM GB",-23,'Current,,,,,,,
107,12/10/2015,POS,"'9285 11OCT15 , GIVEWELL , 6462332035 US , USD 5.00, VRATE 1.5243, FGN PUR FEE 1.00",-4.28,'Current,,,,,,,
108,12/10/2015,POS,"'9285 11OCT15 , BB *RAINFOREST , TRUST , 8004564930 US , USD 5.00, VRATE 1.5243, FGN PUR FEE 1.00",-4.28,'Current,,,,,,,
109,12/10/2015,POS,"'9285 09OCT15 , DELIVEROO.CO.UK , 02033223444 GB",-22,'Current,,,,,,,
110,12/10/2015,POS,"'9285 10OCT15 C , CORBORN CORNER , LONDON GB",-7.86,'Current,,,,,,,
111,12/10/2015,POS,"'9285 10OCT15 , FGW SELF SERVICE , PADDINGTON GB",-26.7,'Current,,,,,,,
112,12/10/2015,POS,"'9285 11OCT15 C , CO-OP GROUP PETROL, BOW ROAD GB",-1.79,'Current,,,,,,,
113,12/10/2015,POS,"'9285 11OCT15 , HARDEDGE READING , LIMIT , READING GB",-55,'Current,,,,,,,
114,12/10/2015,POS,"'9285 11OCT15 , OFFICE , READING 089 GB",-71.99,'Current,,,,,,,
115,12/10/2015,POS,"'9285 10OCT15 , ORIGINAL BUFFALO , GRILL , READING GB",-35.45,'Current,,,,,,,
116,12/10/2015,POS,"'9285 11OCT15 C , KFC READING , READING GB",-9.38,'Current,,,,,,,
117,12/10/2015,POS,"'9285 11OCT15 , HOUSE OF FRASER , READING GB",-130.05,'Current,,,,,,,
118,12/10/2015,POS,"'9285 11OCT15 , SCHUH 033 , READING GB",-60,'Current,,,,,,,
119,13/10/2015,BAC,"'ABAZA KHALED , KHALED-RBS , FP 13/10/15 1743 , FP15286O14355984",70,'Current,,,,,,,
120,13/10/2015,POS,"'9285 12OCT15 C , SUBWAY , 6 CITY ROAD GB",-5.99,'Current,,,,,,,
121,14/10/2015,POS,"'9285 13OCT15 C , BIERSCHENKE , LONDON GB",-19.91,'Current,,,,,,,
122,15/10/2015,POS,"'9285 14OCT15 C , CO-OP GROUP PETROL, BOW ROAD GB",-1,'Current,,,,,,,
123,15/10/2015,POS,"'9285 14OCT15 C , WASABI FINSBURY , PAVEME , LONDON GB",-6.95,'Current,,,,,,,
124,15/10/2015,POS,"'9285 14OCT15 , HOLLAND AND BARRETT , MOORGATE GB",-13.24,'Current,,,,,,,
125,15/10/2015,D/D,'OXFAM DD,-3,'Current,,,,,,,
126,19/10/2015,POS,"'9285 16OCT15 , DELIVERANCE , LIMITED , LONDON GB",-25.27,'Current,,,,,,,
127,19/10/2015,POS,"'9285 17OCT15 , JUSTGIVING.COM , ONLINE DONATI GB",-30,'Current,,,,,,,
128,19/10/2015,POS,"'9285 18OCT15 , DELIVERANCE , LIMITED , LONDON GB",-17.5,'Current,,,,,,,
129,19/10/2015,POS,"'9285 17OCT15 , SAINSBURY'S SMKT , BRIXTON ROAD GB",-15.85,'Current,,,,,,,
130,19/10/2015,POS,"'9285 16OCT15 , GODADDY COM EUROPE, 020 7979 2661 GB",-14.29,'Current,,,,,,,
131,19/10/2015,D/D,'OVO ENERGY,-63,'Current,,,,,,,
132,20/10/2015,POS,"'9285 19OCT15 C , CO-OP GROUP PETROL, BOW ROAD GB",-11.54,'Current,,,,,,,
133,20/10/2015,D/D,'LBTH COUNCIL TAX,-98,'Current,,,,,,,
134,21/10/2015,POS,"'9285 20OCT15 C , SACAT MARKS AND , SPENCER , LONDON GB",-6.85,'Current,,,,,,,
135,21/10/2015,POS,"'9285 20OCT15 C , CO-OP GROUP PETROL, BOW ROAD GB",-4.03,'Current,,,,,,,
136,22/10/2015,POS,"'9285 21OCT15 C , ITSU LTD , LNDN EC2A 010 GB",-8.48,'Current,,,,,,,
137,23/10/2015,POS,"'9285 22OCT15 , PIZZA BUZZ , 2B WORSHIP ST GB",-8.46,'Current,,,,,,,
138,23/10/2015,POS,"'9285 22OCT15 C , SUBWAY , CITY ROAD LON GB",-5.99,'Current,,,,,,,
139,26/10/2015,POS,"'9285 24OCT15 , AMAZON SVCS , EUROPE,SAR , AMAZON.CO.UK LU",-3.99,'Current,,,,,,,
140,26/10/2015,POS,"'9285 24OCT15 , AMAZON UK , MARKETPLACE , 800-279-6620 LU",-19.58,'Current,,,,,,,
141,26/10/2015,POS,"'9285 24OCT15 C , TFL.GOV.UK/CP , TFL TRAVEL CH GB",-1.5,'Current,,,,,,,
142,26/10/2015,POS,"'9285 24OCT15 C , TESCO STORES 6363 , BETHNAL GREEN GB",-1.5,'Current,,,,,,,
143,26/10/2015,POS,"'9285 25OCT15 C , CO-OP GROUP PETROL, BOW ROAD GB",-12.13,'Current,,,,,,,
144,26/10/2015,POS,"'9285 23OCT15 C , SUBWAY , CITY ROAD LON GB",-6.58,'Current,,,,,,,
145,26/10/2015,POS,"'9285 25OCT15 , KATHMANDU , SPITALFIELDS , LONDON GB",-32.99,'Current,,,,,,,
146,26/10/2015,POS,"'9285 24OCT15 C , CO-OP GROUP PETROL, BOW ROAD GB",-19.49,'Current,,,,,,,
147,26/10/2015,D/D,'PNET2674351-1,-19.49,'Current,,,,,,,
148,27/10/2015,DPC,"'CALL REF.NO. 0000 , FROM A/C 11495821",1000,'Current,,,,,,,
149,27/10/2015,POS,"'9285 26OCT15 , TRAINLINE , 03332 022 222 LU",-55.7,'Current,,,,,,,
150,27/10/2015,POS,"'9285 26OCT15 C , SUBWAY , CITY ROAD LON GB",-5.99,'Current,,,,,,,
151,28/10/2015,POS,"'9285 27OCT15 , AMAZON UK , MARKETPLACE , 800-279-6620 LU",-10.98,'Current,,,,,,,
152,29/10/2015,POS,"'9285 28OCT15 , UDACITY, INC. , 8778877815 US , USD 200.00, VRATE 1.5274, FGN PUR FEE 3.60",-134.54,'Current,,,,,,,
153,29/10/2015,POS,"'9285 28OCT15 , DELIVERANCE , LIMITED , LONDON GB",-23,'Current,,,,,,,
154,29/10/2015,D/D,'HALIFAX,-18.63,'Current,,,,,,,
155,02/11/2015,POS,"'9285 31OCT15 , TRAINLINE , 03332 022 222 LU",-42.5,'Current,,,,,,,
156,02/11/2015,POS,"'9285 31OCT15 C , WASABI LIVERPOOL , KIOSK , LONDON GB",-7.49,'Current,,,,,,,
157,02/11/2015,D/D,'SOAS,-3,'Current,,,,,,,
158,02/11/2015,D/D,'H3G,-38.86,'Current,,,,,,,
159,03/11/2015,POS,"'9285 02NOV15 , GOOGLE , *SVCSAPPS_MOTIO , 303-245-0086 IE",-3.3,'Current,,,,,,,
160,03/11/2015,POS,"'9285 02NOV15 , GOOGLE , *DEEPRIVERDEV , GOOGLE.COM/CH GB",-1.99,'Current,,,,,,,
161,03/11/2015,POS,"'9285 02NOV15 , HONEST BURGERS , MARKET , LONDON GB",-51.5,'Current,,,,,,,
162,04/11/2015,CHG,'19OCT A/C 10651269,-12.95,'Current,,,,,,,
163,05/11/2015,BAC,"'CONTRACTOR UMBRE L, NO REF , FP 05/11/15 1507 , MF000845B1F8A13600",478.14,'Current,,,,,,,
164,09/11/2015,POS,"'9285 06NOV15 C , M AND S SIMPLY FOOD - , SSP , M/BONE STN GB",-5.05,'Current,,,,,,,
165,09/11/2015,POS,"'9285 06NOV15 , GOOGLE *COMMERCE , LTD , GOOGLE.COM/CH GB",-9.99,'Current,,,,,,,
166,09/11/2015,POS,"'9285 08NOV15 , MUBI , LONDON GB",-4.99,'Current,,,,,,,
167,09/11/2015,POS,"'9285 06NOV15 C , M AND S SIMPLY FOOD - , SSP , M/BONE STN GB",-18.2,'Current,,,,,,,
168,10/11/2015,POS,"'9285 09NOV15 , HACHE BURGER , CONNOISSE , LONDON EC2A 3 GB",-55.69,'Current,,,,,,,
169,10/11/2015,D/D,'UNICEF UK,-4,'Current,,,,,,,
170,12/11/2015,POS,"'9285 11NOV15 , GIVEWELL , 6462332035 US , USD 5.00, VRATE 1.5105, FGN PUR FEE 1.00",-4.31,'Current,,,,,,,
171,12/11/2015,POS,"'9285 11NOV15 , BB *RAINFOREST , TRUST , 8004564930 US , USD 5.00, VRATE 1.5105, FGN PUR FEE 1.00",-4.31,'Current,,,,,,,
172,16/11/2015,POS,"'9285 15NOV15 , COSTCUTTER , LONDON E3 GB",-7.28,'Current,,,,,,,
173,16/11/2015,POS,"'9285 15NOV15 , SWEATSHOP , 08453325237 GB",-56.03,'Current,,,,,,,
174,16/11/2015,POS,"'9285 14NOV15 , DELIVERANCE , LIMITED , LONDON GB",-53.2,'Current,,,,,,,
175,16/11/2015,POS,"'9285 15NOV15 , MONSTER SUPPLEMENT, HULL GB",-159.87,'Current,,,,,,,
176,16/11/2015,POS,"'9285 15NOV15 C , CO-OP GROUP PETROL, BOW ROAD GB",-21.4,'Current,,,,,,,
177,16/11/2015,POS,"'9285 15NOV15 C , AS NATURE INTENDED, LTD , LONDON GB",-3.5,'Current,,,,,,,
178,16/11/2015,POS,"'9285 14NOV15 , CIRQUE , LONDON GB",-42.5,'Current,,,,,,,
179,16/11/2015,POS,"'9285 15NOV15 C , EAT , OSR GB",-3.59,'Current,,,,,,,
180,16/11/2015,POS,"'9285 15NOV15 , GODADDY COM EUROPE, 020 7979 2661 GB",-5.99,'Current,,,,,,,
181,16/11/2015,POS,"'9285 14NOV15 , ZIGFRID VON , UNDERBELLY , LONDON N1 6NU GB",-25.5,'Current,,,,,,,
182,16/11/2015,POS,"'9285 15NOV15 , ZIGFRID VON , UNDERBELLY , LONDON N1 6NU GB",-18,'Current,,,,,,,
183,16/11/2015,POS,"'9285 14NOV15 C , PECKOVER , TRADITIONAL B , LONDON E2 GB",-10.56,'Current,,,,,,,
184,16/11/2015,D/D,'OXFAM DD,-3,'Current,,,,,,,
185,17/11/2015,POS,"'9285 15NOV15 , THE SINGER TAVERN , LONDON GB",-28.13,'Current,,,,,,,
186,18/11/2015,D/D,'OVO ENERGY,-63,'Current,,,,,,,
187,19/11/2015,BAC,"'S YOUSIF , FP 18/11/15 2212 , 300000000172330855",636.65,'Current,,,,,,,
188,19/11/2015,BAC,"'CONTRACTOR UMBRE L, NO REF , FP 19/11/15 1406 , MF000345B20452C900",3726.24,'Current,,,,,,,
189,20/11/2015,POS,"'9285 18NOV15 , ROYAL JORDANIAN , ETKT , LONDON W6 0EA GB",-636.65,'Current,,,,,,,
190,20/11/2015,D/D,'LBTH COUNCIL TAX,-98,'Current,,,,,,,
191,23/11/2015,POS,"'9285 20NOV15 , CO-OP GROUP PETROL, BOW ROAD GB",-15.24,'Current,,,,,,,
192,23/11/2015,POS,"'9285 22NOV15 C , PRET A MANGER , ST PANCRAS IN GB",-6.6,'Current,,,,,,,
193,23/11/2015,POS,"'9285 22NOV15 C , PRET A MANGER , ST PANCRAS IN GB",-2.4,'Current,,,,,,,
194,23/11/2015,POS,"'9285 20NOV15 , PECKOVER , TRADITIONAL B , LONDON E2 GB",-47.63,'Current,,,,,,,
195,23/11/2015,POS,"'9285 22NOV15 , CAFFE NERO - 31 -E, EDGWARE ROAD GB",-8.4,'Current,,,,,,,
196,24/11/2015,BAC,"'CONTRACTOR UMBRE L, NO REF , FP 24/11/15 1259 , MF000645B207C89D00",586.48,'Current,,,,,,,
197,24/11/2015,POS,"'9285 23NOV15 , SAINSBURY'S S/MKT , WHITECHAPEL GB",-24.25,'Current,,,,,,,
198,24/11/2015,POS,"'9285 20NOV15 , STEAMGAMES.COM , 425-952-2985 GB",-24.99,'Current,,,,,,,
199,24/11/2015,POS,"'9285 23NOV15 C , SUBWAY , CITY ROAD LON GB",-6.49,'Current,,,,,,,
200,25/11/2015,POS,"'9285 24NOV15 , TRAFIK , LONDON GB",-30.5,'Current,,,,,,,
201,26/11/2015,POS,"'9285 25NOV15 , UDACITY, INC. , 8778877815 US , USD 200.00, VRATE 1.5051, FGN PUR FEE 3.65",-136.53,'Current,,,,,,,
202,26/11/2015,D/D,'PNET2674351-1,-19.49,'Current,,,,,,,
203,27/11/2015,POS,"'9285 26NOV15 , AMAZON DIGITAL , DWNLDS , 866-321-8851 LU",-2.99,'Current,,,,,,,
204,27/11/2015,POS,"'9285 25NOV15 , WAHACA GREAT , PORTLAND , LONDON GB",-65.25,'Current,,,,,,,
205,30/11/2015,BAC,"'ABAZA KHALED , KHALED-RBS , FP 29/11/15 2118 , FP15333O15032218",200,'Current,,,,,,,
206,30/11/2015,DPC,"'CALL REF.NO. 0000 , DAD , FP 28/11/15 10 , 36160736986629000R",-400,'Current,,,,,,,
207,30/11/2015,POS,"'9285 28NOV15 , TRAINLINE , 03332 022 222 LU",-60.5,'Current,,,,,,,
208,30/11/2015,POS,"'9285 29NOV15 , GOOGLE *BIG DADDYS, C , GOOGLE.COM/CH GB",-0.53,'Current,,,,,,,
209,30/11/2015,POS,"'9285 29NOV15 , PAN ASIA BBQ , NOTTINGHAM GB",-56.75,'Current,,,,,,,
210,30/11/2015,POS,"'9285 27NOV15 C , PRET A MANGER , 1 FINSBURY SQ GB",-14.78,'Current,,,,,,,
211,30/11/2015,D/D,'HALIFAX,-18.45,'Current,,,,,,,
212,01/12/2015,BAC,"'CONTRACTOR UMBRE L, NO REF , FP 01/12/15 1438 , MF00114BF20F24A100",586.68,'Current,,,,,,,
213,01/12/2015,POS,"'9285 30NOV15 , AMAZON UK , MARKETPLACE , 800-279-6620 LU",-28.33,'Current,,,,,,,
214,01/12/2015,POS,"'9285 30NOV15 , AMAZON UK , MARKETPLACE , 800-279-6620 LU",-1.25,'Current,,,,,,,
215,01/12/2015,POS,"'9285 30NOV15 C , TESCO STORE 2092 , BETHNAL GREEN GB",-11.82,'Current,,,,,,,
216,01/12/2015,POS,"'9285 30NOV15 C , SUBWAY , CITY ROAD LON GB",-5.99,'Current,,,,,,,
217,01/12/2015,D/D,'SOAS,-3,'Current,,,,,,,
218,01/12/2015,D/D,'H3G,-21.41,'Current,,,,,,,
219,02/12/2015,POS,"'9285 01DEC15 C , SUBWAY , CITY ROAD LON GB",-5.99,'Current,,,,,,,
220,02/12/2015,POS,"'9285 01DEC15 C , PIZZA BUZZ , 2B WORSHIP ST GB",-16.4,'Current,,,,,,,
221,02/12/2015,POS,"'9285 01DEC15 , WWW.JOHNLEWIS.COM , 03456 049 049 GB",-1079,'Current,,,,,,,
222,03/12/2015,POS,"'9285 30NOV15 , UDEMY INC. , +14156025987 IE",-8,'Current,,,,,,,
223,03/12/2015,POS,"'9285 30NOV15 , UDEMY INC. , +14156025987 IE",-8,'Current,,,,,,,
224,03/12/2015,POS,"'9285 02DEC15 C , SUBWAY , CITY ROAD LON GB",-7.48,'Current,,,,,,,
